,CENSUS_TRACT,TOT_POP,TOT_H,TOT_WA,TOT_BA,TOT_IA,TOT_AA,TOT_NA,TOT_OTHER,TOT_TOM,TOT_18+,TOT_H_18+,TOT_WA_18+,TOT_BA_18+,TOT_IA_18+,TOT_AA_18+,TOT_NA_18+,TOT_OTHER_18+,TOT_TOM_18+,TOT_HOUSE_UNITS,OCC_HOUSE_UNITS,VAC_HOUSE_UNITS,TOT_MED_AGE,PCT_M,M_MED_AGE,PCT_F,F_MED_AGE,AVG_HOUSE_SIZE,AVG_FAM_SIZE,HOME_VAC_RATE,RENT_VAC_RATE,PCT_OCC_OWNER,AVG_H_SIZE_OWNER,PCT_OCC_RENTER,AVG_H_SIZE_RENTER,PCT_LABOR,PCT_EMP,PCT_UNEMP,MHI_TOT,MHI_WA,MHI_BA,MHI_AA,MHI_H,TOT_FAM,PCT_FAM_POV,TOT_FAM_MARRIED,PCT_FAM_MARRIED_POV,TOT_FAM_F_ONLY,PCT_FAM_F_ONLY_POV,POV_RATE_NO_GED,POV_RATE_GED,POV_RATE_SOME_COL,POV_RATE_BACH_PLUS,MHI_OTHER,PCT_TOT_POP,PCT_H,PCT_WA,PCT_BA,PCT_AA,PCT_OTHER,PCT_TOT_POP_18,PCT_H_18,PCT_WA_18,PCT_BA_18,PCT_AA_18,PCT_OTHER_18,PCT_OCC_HOUSE,PCT_VAC_HOUSE,PCT_FAM,PCT_FAM_MARRIED,PCT_FAM_F_ONLY
3700,12105013102,3410,354,2791,179,10,30,0,7,39,2709,221,2310,120,8,23,0,4,23,1669,1436,233,43.9,48.9,41.1,51.1,45.6,2.37,2.89,3.1,8.6,70.1,2.3,29.9,2.55,64.3,59.3,7.7,37702.0,39315.0,32731.0,41417.0,17333.0,854,6.1,646,6.7,169,0.0,28.9,6.0,5.4,5.8,0.0,0.018137034068370767,10.381231671554252,81.8475073313783,5.249266862170088,0.8797653958944283,1.6422287390029326,0.018305020014907542,8.157991878922113,85.27131782945736,4.4296788482834994,0.8490217792543374,1.2919896640826873,86.03954463750749,13.96045536249251,25.04398826979472,18.944281524926687,4.956011730205279
3701,12105013103,1030,314,661,21,10,7,0,4,13,778,208,533,13,10,5,0,0,9,475,385,90,36.5,51.6,37.1,48.4,35.7,2.68,3.25,1.1,20.3,45.2,2.78,54.8,2.59,67.4,53.2,21.1,27717.0,27953.0,0.0,0.0,28583.0,223,7.6,181,1.1,18,44.4,21.3,11.2,37.4,0.0,55893.0,0.005478341668745422,30.485436893203882,64.1747572815534,2.0388349514563107,0.6796116504854369,2.621359223300971,0.0052570341718708264,26.735218508997427,68.50899742930592,1.6709511568123392,0.6426735218508998,2.442159383033419,81.05263157894737,18.947368421052634,21.650485436893206,17.57281553398058,1.7475728155339807
3702,12105013200,1950,353,1077,481,5,5,0,0,29,1423,212,865,328,3,2,0,0,13,750,636,114,33.1,48.4,31.1,51.6,34.0,2.87,3.25,6.2,11.4,47.2,2.79,52.8,2.94,48.2,44.1,8.5,29583.0,29531.0,24625.0,0.0,12414.0,379,31.4,185,33.0,92,46.7,38.1,32.6,48.6,36.7,0.0,0.01037161772238211,18.102564102564102,55.230769230769226,24.666666666666668,0.2564102564102564,1.7435897435897436,0.009615372270658337,14.898102600140547,60.787069571328175,23.049894588896695,0.14054813773717498,1.1243851018973998,84.8,15.2,19.435897435897438,9.487179487179487,4.717948717948718
3703,12105013300,2301,361,1049,824,10,11,0,2,44,1707,211,855,605,7,9,0,1,19,1052,855,197,37.5,50.8,36.2,49.2,38.5,2.69,3.38,4.0,11.7,53.7,2.54,46.3,2.86,59.9,54.7,8.8,27216.0,27415.0,28889.0,0.0,38750.0,549,28.4,193,7.3,277,45.5,36.7,31.3,14.0,0.0,0.0,0.012238508912410889,15.68883094306823,45.588874402433724,35.810517166449365,0.47805302042590175,2.4337244676227727,0.011534392456791132,12.360867018160516,50.08787346221442,35.4422964264792,0.5272407732864675,1.5817223198594026,81.27376425855513,18.726235741444867,23.859191655801826,8.387657540199914,12.038244241634072
3704,12105013400,4866,724,2745,1226,16,50,2,7,96,3584,451,2257,776,15,37,2,3,43,2183,1839,344,37.1,48.9,36.1,51.1,38.2,2.65,3.18,4.7,15.8,63.7,2.45,36.3,2.99,52.8,46.1,12.6,28265.0,28550.0,30201.0,0.0,23382.0,1358,20.8,901,16.0,406,34.0,19.3,23.4,22.5,0.0,29903.878161787412,0.02588117530108274,14.87875051376901,56.4118372379778,25.195232223592274,1.0275380189066996,2.486642005754213,0.024217494179929362,12.583705357142858,62.97433035714286,21.651785714285715,1.0323660714285714,1.7578125,84.24186898763169,15.7581310123683,27.907932593505958,18.516235100698726,8.3436087135224
3705,12105013500,3210,201,2701,210,2,65,0,4,27,2751,139,2382,158,2,49,0,3,18,1823,1596,227,54.1,45.2,51.8,54.8,56.0,2.01,2.7,3.4,12.5,66.3,2.2,33.7,1.64,55.6,51.1,8.2,51069.0,50842.0,51000.0,0.0,43875.0,849,3.1,700,3.7,138,0.0,38.1,1.4,8.4,6.7,0.0,0.017073278404536707,6.261682242990655,84.14330218068535,6.5420560747663545,2.0249221183800623,1.0280373831775702,0.01858881877482859,5.05270810614322,86.58669574700109,5.743366048709561,1.7811704834605597,0.8360596146855689,87.54799780581459,12.45200219418541,26.448598130841123,21.806853582554517,4.299065420560748
3706,12105013600,5045,262,972,3686,4,27,8,9,77,3766,179,892,2626,4,23,4,6,32,2398,1964,434,40.8,46.3,40.0,53.7,41.6,2.5,3.19,7.7,11.3,53.8,2.32,46.2,2.72,49.8,46.2,7.4,24307.0,35817.0,17455.0,0.0,32308.0,1395,36.2,637,23.9,572,55.4,35.3,41.1,25.6,5.6,32667.0,0.02683323662021423,5.193260654112984,19.266600594648168,73.06243805748267,0.535183349851338,1.9425173439048562,0.0254472888062539,4.753053637812002,23.685608072225172,69.72915560276155,0.6107275624004248,1.2214551248008496,81.90158465387823,18.09841534612177,27.651139742319124,12.626362735381566,11.337958374628345
3707,12105013701,1503,148,1103,210,3,15,0,1,23,1347,112,1041,162,3,15,0,1,13,1196,1000,196,56.0,43.8,48.7,56.2,64.7,1.49,2.65,3.6,13.3,13.1,1.79,86.9,1.45,38.7,33.6,13.1,16455.0,16487.0,16935.0,0.0,0.0,179,31.8,114,29.8,42,0.0,60.9,40.4,14.3,21.1,10441.0,0.007994123813712981,9.846972721224219,73.38656021290751,13.972055888223553,0.998003992015968,1.7964071856287425,0.009101831657467871,8.314773570898293,77.28285077951003,12.026726057906458,1.1135857461024499,1.2620638455827766,83.61204013377926,16.387959866220736,11.909514304723885,7.584830339321358,2.7944111776447107
3708,12105013702,5252,476,2676,1910,8,67,7,10,98,3936,309,2170,1348,8,51,5,6,39,2262,1957,305,37.6,48.3,36.0,51.7,39.0,2.64,3.14,6.2,12.6,68.7,2.62,31.3,2.67,66.0,55.6,15.2,52472.0,53487.0,50000.0,0.0,55417.0,1440,7.8,1035,5.2,205,25.4,11.7,12.5,9.2,5.1,48099.315068493146,0.027934223732282482,9.063214013709063,50.952018278750955,36.36709824828637,1.2757044935262756,2.341964965727342,0.02659599807260099,7.850609756097561,55.132113821138205,34.2479674796748,1.295731707317073,1.4735772357723578,86.51635720601237,13.483642793987622,27.418126428027417,19.706778370144708,3.903274942878903
3709,12105013801,3199,366,2062,686,8,27,2,1,47,2361,224,1682,413,5,21,2,1,13,1504,1271,233,37.9,46.8,36.8,53.2,39.1,2.52,3.04,3.5,15.1,64.5,2.43,35.5,2.68,63.9,58.9,7.7,35472.0,36464.0,35375.0,0.0,22179.0,925,11.8,563,6.4,248,19.4,18.3,7.9,10.0,11.5,20500.0,0.01701477184302583,11.441075336042514,64.4576430134417,21.444201312910284,0.8440137542982182,1.8130665833072834,0.015953544575561723,9.487505294366795,71.24099957645066,17.492587886488774,0.8894536213468869,0.8894536213468869,84.50797872340425,15.492021276595743,28.9152860268834,17.599249765551736,7.7524226320725225
